Machine_ID,Machine_Name,Platform,Platform_ID,OS,OS_Detail,Difficulty,Difficulty_Numeric,Attack_Category,Attack_Category_Detail,Vulnerability_Type,Kill_Chain_Stages,Skills_Required,Learning_Objectives,Estimated_Time,Estimated_Time_Hours,Attack_Path_Length,Entry_Point
1,LAMPSecurity CTF 4,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Credential Extraction → Privilege Escalation,Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,SQL Injection; Credential Extraction; Privilege Escalation,<1 hour,0.5,5,SQL Injection (login/input parameter)
2,LAMPSecurity CTF 5,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,Local File Inclusion (LFI) → Credential Extraction → Privilege Escalation,Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,Local File Inclusion; Credential Extraction; Privilege Escalation,1-2 hours,1.5,6,Local File Inclusion (web parameter)
3,LAMPSecurity CTF 7,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → File Upload → Credential Extraction → Privilege Escalation (Sudo),Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,SQL Injection; File Upload Exploitation; Credential Extraction; Privilege Escalation,1-2 hours,1.5,7,SQL Injection (authentication bypass)
4,HolyNix 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,SQL Injection → File Inclusion → Credential Extraction → Privilege Escalation,Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,SQL Injection; Local File Inclusion; Credential Extraction; Privilege Escalation,2-3 hours,2.5,8,SQL Injection (web form)
5,pWnOS 1.0,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,Arbitrary File Disclosure → Credential Extraction → Privilege Escalation,Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,File Disclosure; Credential Extraction; Privilege Escalation,2-3 hours,2.5,7,Arbitrary File Disclosure (web endpoint)
6,pWnOS 2.0,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,File Upload → Credential Extraction → Privilege Escalation,Recon → Exploitation → Credential Access → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,File Upload Exploitation; Credential Extraction; Privilege Escalation,1-2 hours,1.5,7,File Upload Vulnerability (web application)
7,De-ICE S1.120,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Credential Extraction → SSH Access → Privilege Escalation (SUID/Sudo),Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,SQL Injection; Credential Extraction; SSH Access; Privilege Escalation,1-2 hours,1.5,7,SQL Injection (web application)
8,Hackademic RTB1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,SQL Injection → Credential Extraction → Remote Code Execution → Privilege Escalation (Kernel),Recon → Exploitation → Credential Access → Exploitation → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,SQL Injection; Credential Extraction; Remote Code Execution; Privilege Escalation,2-3 hours,2.5,8,SQL Injection (web parameter)
9,Tr0ll 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → Credential Discovery → Brute Force → SSH Access → Privilege Escalation,Recon → Credential Access → Exploitation → Lateral Movement → Privilege Escalation,Enumeration; Credential Extraction; Brute Force; Privilege Escalation,Credential Discovery; Brute Force; SSH Access; Privilege Escalation,2-3 hours,2.5,8,Web Enumeration (hidden directories/files)
10,21LTR Scene 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Multi-Stage Exploitation,Web Enumeration → Credential Extraction → Remote Code Execution → SSH Access → Privilege Escalation,Recon → Credential Access → Exploitation → Lateral Movement → Privilege Escalation,Enumeration; Exploitation; Credential Extraction; Privilege Escalation,Credential Extraction; Remote Code Execution; SSH Access; Privilege Escalation,2-3 hours,2.5,9,Web Enumeration (accessible endpoints)
