Machine_ID,Machine_Name,Platform,Platform_ID,OS,OS_Detail,Difficulty,Difficulty_Numeric,Attack_Category,Attack_Category_Detail,Vulnerability_Type,Kill_Chain_Stages,Skills_Required,Learning_Objectives,Estimated_Time,Estimated_Time_Hours,Attack_Path_Length,Entry_Point
1,LAMPSecurity CTF 4,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Database Enumeration → Credential Extraction → SSH Access → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; SQL Injection; Database Enumeration; Credential Extraction; SSH Access; Sudo Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Database Enumeration; Credential Extraction; SSH Access; Privilege Escalation,1-2 hours,1.5,6,SQL Injection (web URL parameter)
2,LAMPSecurity CTF 5,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,Local File Inclusion → Information Disclosure → Hash Cracking → CMS Admin Access → File Upload Exploitation → Webshell Execution → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Web Access → Execution → Privilege Escalation,Enumeration; Local File Inclusion; Information Disclosure; Hash Cracking; CMS Access; File Upload Exploitation; Webshell Execution; Kernel Exploitation; Privilege Escalation,Web Enumeration; Local File Inclusion; Source Code Disclosure; Hash Cracking; File Upload Exploitation; Webshell Execution; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,8,Local File Inclusion (web parameter) + CMS Information Disclosure
3,LAMPSecurity CTF 7,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Authentication Bypass → File Upload Exploitation → Webshell Execution → Database Enumeration → Hash Cracking → SSH Access → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Web Access → Execution → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; SQL Injection; Authentication Bypass; File Upload; Webshell; Database Enumeration; Hash Cracking; SSH Access; Sudo Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Authentication Bypass; File Upload Exploitation; Webshell Execution; Database Enumeration; Hash Cracking; SSH Access; Privilege Escalation,2-3 hours,2.5,9,SQL Injection (authentication bypass on login form)
4,HolyNix 1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,SQL Injection → Authentication Bypass → Local File Inclusion → Credential Extraction → File Upload Exploitation → Reverse Shell → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Web Access → Credential Access → Execution → Privilege Escalation,Enumeration; SQL Injection; Authentication Bypass; Local File Inclusion; Credential Extraction; File Upload; Reverse Shell; Sudo Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Authentication Bypass; Local File Inclusion; Credential Extraction; File Upload Exploitation; Reverse Shell; Privilege Escalation,2-3 hours,2.5,8,SQL Injection (authentication bypass on login form)
5,pWnOS 1.0,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,Arbitrary File Disclosure → Credential Extraction → Hash Cracking → SSH Access → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Arbitrary File Disclosure; Credential Extraction; Hash Cracking; SSH Access; Kernel Exploitation; Privilege Escalation,Web Enumeration; Source Code Disclosure; Credential Extraction; Hash Cracking; SSH Access; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,7,Webmin Arbitrary File Disclosure (port 10000)
6,pWnOS 2.0,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,Web Enumeration → Source Code Disclosure → CMS Exploitation → File Upload Exploitation → Reverse Shell → Credential Extraction → SSH Access → Privilege Escalation,Recon → Exploitation → Execution → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Source Code Disclosure; CMS Exploitation; File Upload; Reverse Shell; Credential Extraction; SSH Access; Privilege Escalation,Web Enumeration; Source Code Disclosure; CMS Exploitation; File Upload Exploitation; Reverse Shell; Credential Extraction; SSH Access; Privilege Escalation,1-2 hours,1.5,8,Simple PHP Blog v0.4.0 file upload exploit (discovered via source code in /blog directory)
7,De-ICE S1.120,VulnHub,0,Linux,,Easy,1,Web Exploitation,Web Exploitation,SQL Injection → Database Enumeration → Credential Extraction → SSH Access → SUID Exploitation → Sudo Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; SQL Injection; Database Enumeration; Credential Extraction; SSH Access; SUID Exploitation; Sudo Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Database Enumeration; Credential Extraction; SSH Access; SUID Exploitation; Sudo Exploitation; Privilege Escalation,1-2 hours,1.5,7,SQL Injection (products.php?id=1 parameter)
8,Hackademic RTB1,VulnHub,0,Linux,,Medium,2,Web Exploitation,Web Exploitation,SQL Injection → Database Enumeration → Hash Cracking → WordPress Admin Access → File Upload Exploitation → Webshell Execution → Kernel Exploitation → Privilege Escalation,Recon → Exploitation → Credential Access → Web Access → Execution → Privilege Escalation,Enumeration; SQL Injection; Hash Cracking; CMS Exploitation; File Upload; Webshell Execution; Kernel Exploitation; Privilege Escalation,Web Enumeration; SQL Injection; Database Enumeration; Hash Cracking; CMS Exploitation; File Upload Exploitation; Webshell Execution; Kernel Exploitation; Privilege Escalation,2-3 hours,2.5,8,SQL Injection (WordPress URL parameter)
9,Tr0ll 1,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Exploitation,FTP Anonymous Access → Packet Analysis → Hidden File Discovery → Brute Force → SSH Access → Cron Abuse → SUID Exploitation → Privilege Escalation,Recon → Enumeration → Credential Access → Lateral Movement → Privilege Escalation,Network Enumeration; Packet Analysis; Hidden File Discovery; Brute Force; SSH Access; Script Abuse; SUID Exploitation; Privilege Escalation,Network Enumeration; Packet Analysis; Hidden File Discovery; Web Enumeration; Brute Force; SSH Access; Cron Abuse; Privilege Escalation,2-3 hours,2.5,8,FTP Anonymous Access
10,21LTR Scene 1,VulnHub,0,Linux,,Medium,2,Network Exploitation,Multi-Stage Exploitation,Source Code Disclosure → FTP Anonymous Access → Webshell Execution → Reverse Shell → SSH Key Extraction → SSH Access → Privilege Escalation,Recon → Enumeration → Exploitation → Credential Access → Lateral Movement → Privilege Escalation,Enumeration; Source Code Disclosure; FTP Anonymous Access; Webshell; Reverse Shell; SSH Key Extraction; SSH Access; Privilege Escalation,Web Enumeration; Source Code Disclosure; Network Enumeration; Webshell Execution; Reverse Shell; SSH Key Extraction; SSH Access; Privilege Escalation,2-3 hours,2.5,7,Source Code Disclosure (HTTP page source) + FTP Access
